CREATEDAT;CREATEDBY;MODIFIEDAT;MODIFIEDBY;ID;CONTRACTID;CONTRACTTYPE;DEALERBPID;CUSTOMERBPID;STATUS_ID;STATUSDATE;REMARKS;PRIMARYCUSTOMERTITLE;PRIMARYCUSTOMERFIRSTNAME;PRIMARYCUSTOMERLASTNAME;PRIMARYCUSTOMEREMAIL;SECONDARYCUSTOMERTITLE;SECONDARYCUSTOMERFIRSTNAME;SECONDARYCUSTOMERLASTNAME;SECONDARYCUSTOMEREMAIL;SERVICEHOUSENUMBER;SERVICESTREETNAME;SERVICEUNITNUMBER;SERVICECITY;SERVICEPOSTALCODE;SERVICEPROVINCE_CODE;SERVICECOUNTRY_CODE;SERVICEPHONE;PRODUCTCATEGORY_ID;PRODUCTCATEGORY_NAME;CURRENCY_CODE;MONTHLYCOST;MONTHLYTAXES;MONTHLYTOTALCOST;TOTALCOST;TOTALOMCOST;ESTIMATEDINSTALLATIONDATE;INFLATOR;TAXRATE;ANNUALEGICOST;ANNUALEGICOSTEFFECTIVEDATE;MINUSEFULLIFEYEARS;TERMSOFLEASEYEARS;ANNUALAPRPRNCT;ANNUALEBITDAPRCNT;ANNUALEBITDAAPREFFECTIVEDATE;ANNUALDEALERCOST;PRODUCTSTEXT;FIRSTYEARANNUALBILL;MONTHLYPRICEFORCAPITAL;MONTHLYEBITDAPRCNT;MONTHLYDEALERCOST;MONTHLYEGICOST;NOOFMONTHLYPAYMENTS;TOTALLEASECOST;LEASEVALUEOFEQUIPMENT;ESTIMATEDRESIDUALVALUE;IMPLICITFINACECHARGE;WORKCOMPLETIONCERTIFACATE_ID
2023-06-07 04:48:50.653000000;ali.akbarchawla@enbridge.com;2023-06-07 04:48:50.653000000;ali.akbarchawla@enbridge.com;3a331d16-b5a4-4e30-b716-c57821f39999;1000000064;;;;INT;;;1;1;1;1@1.com;;;;;11111;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;;;;;;;;;;;;;;;;;;
2023-06-07 04:50:24.802000000;ali.akbarchawla@enbridge.com;2023-06-07 04:50:24.802000000;ali.akbarchawla@enbridge.com;30734d58-de00-48a9-8fd7-e68a81f6ebb6;1000000065;;;;INT;;;1;1;11;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;;;;;;;;;;;;;;;;;;
2023-06-07 04:59:30.563000000;ali.akbarchawla@enbridge.com;2023-06-07 04:59:30.563000000;ali.akbarchawla@enbridge.com;45069457-c669-473d-925d-314c59704001;1000000066;;;;INT;;;1;1;11;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;;;;;;;;;;;;;;;;;;
2023-06-07 05:02:31.876000000;ali.akbarchawla@enbridge.com;2023-06-07 05:02:31.876000000;ali.akbarchawla@enbridge.com;73541ba3-218c-456a-a2ea-424ed28e9fa3;1000000067;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;;;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 05:56:49.944000000;ali.akbarchawla@enbridge.com;2023-06-07 05:56:49.944000000;ali.akbarchawla@enbridge.com;fbbc5373-df51-4dfe-b150-401395f2a7ae;1000000068;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-05-25 16:14:41.393000000;anonymous;2023-06-05 20:19:32.088000000;ali.akbarchawla@enbridge.com;f2421572-598a-4076-a7f3-c2e304b6d8bc;1000000003;Residential Contract;1000000002;;OFS;;;Mr;John;Smith;AliAkbarChawla@hotmail.com;Mr;Jill;Jill;AliChawla2@gmail.com;456  x;1st street;1;Toronto;57400;ON;CA;123-123-1234;HVA;;;373.74;48.59;422.33;;;;0.25;13.00;40.00;2023-04-01;10;15;11.00;10.829;2023-05-11;5.00;;4484.89;369.99;0.900;0.42;3.33;180;68463.48;41686.94;0.00;26776.54;083bffb3-1b07-45d2-a880-cdffe1274563
2023-06-07 05:59:50.243000000;ali.akbarchawla@enbridge.com;2023-06-07 05:59:50.243000000;ali.akbarchawla@enbridge.com;a061b467-8b67-4a55-b33d-8cf71f792748;1000000069;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 06:06:02.927000000;ali.akbarchawla@enbridge.com;2023-06-07 06:06:02.927000000;ali.akbarchawla@enbridge.com;f0e96048-24e4-4bc0-88d3-75dc6b6de986;1000000070;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 06:07:43.630000000;ali.akbarchawla@enbridge.com;2023-06-07 06:07:43.630000000;ali.akbarchawla@enbridge.com;5cfaece7-f9c3-48b5-8363-5e28069236f3;1000000071;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;20;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
2023-06-07 06:08:41.226000000;ali.akbarchawla@enbridge.com;2023-06-07 06:08:41.226000000;ali.akbarchawla@enbridge.com;b0ac7413-f7e8-4c7a-b99a-35478c895ebd;1000000072;;;;INT;;;1;1;1;1@1.com;;;;;1;1;1;1;1;ON;CA;1111111111;GOH;;;12.33;1.60;13.94;100.00;95.00;;0.25;13.00;40.00;;15;20;13.25;13.000;;95.00;;148.00;1.08;1.080;7.92;3.33;240;3031.37;2865.10;;166.27;
